neighborhood,crime_rate,price,longitude,latitude
Allston,9569,132.2969696969697,-71.13237984198553,42.35541307635124
Back Bay,14192,323.3996023856859,-71.08187614227043,42.34901842891106
Bay Village,899,209.45945945945945,-71.06864106173984,42.34922721207583
Beacon Hill,3132,190.78571428571428,-71.06776963475299,42.35935688577789
Brighton,12394,112.48760330578513,-71.1527360400802,42.3477974759738
Charlestown,6681,225.70440251572327,-71.06539640781266,42.37820833200621
Chinatown,3387,235.56617647058823,-71.0614518930441,42.35052321369261
Dorchester,85675,157.4641577060932,-71.06305024407544,42.30318059210459
Downtown,22753,255.04956896551724,-71.06115411417446,42.35571997506933
East Boston,14641,132.2046204620462,-71.0296249144161,42.37568635215658
Fenway,9884,203.33484162895928,-71.09771928324622,42.344984369402205
Hyde Park,14642,84.82539682539682,-71.12067478300743,42.254384834751825
Jamaica Plain,17039,145.59474671669793,-71.10987978460886,42.3149234459156
Leather District,503,751.7142857142857,-71.05752753009726,42.35125639551725
Longwood,1580,105.66666666666667,-71.10512174527605,42.33959277566469
Mattapan,15455,81.57894736842105,-71.0844240307179,42.2760257593922
Mission Hill,6842,269.59447004608296,-71.10762113770538,42.33135479313157
North End,3110,226.7829457364341,-71.0547015551623,42.36532397851262
Roslindale,10105,84.3716814159292,-71.12980548787482,42.28168128082687
Roxbury,44744,245.86918604651163,-71.08582587808597,42.32490752613424
South Boston,17292,262.4516129032258,-71.04609249522659,42.33559561842502
South Boston Waterfront,1895,279.9871794871795,-71.04524590626251,42.34917376873307
South End,14608,199.24829157175398,-71.07375936938305,42.342142632693495
West End,4015,283.4026845637584,-71.06764840573346,42.36401643781113
West Roxbury,7291,107.55714285714286,-71.15654350841298,42.28003263782437
