,Unnamed: 0,Street Number,Street Name,Land Area in Acres,Total Appraised Parcel Value,Price,Gross Area,Living Area,Lat,Lon,Name,API_AD,coord
0,0,9,ADDISON ST,0.04132231,332900,360000.0,3479.0,1810.0,42.396952,-71.032195,9 ADDISON ST CHELSEA MA,9+ADDISON+ST+CHELSEA+MA,"['42.396952', ' -71.032195']"
1,1,11,ADDISON ST,0.07667585,308400,98000.0,3259.0,1904.0,42.3970916,-71.0322844,11 ADDISON ST CHELSEA MA,11+ADDISON+ST+CHELSEA+MA,"['42.3970916', ' -71.0322844']"
2,2,16,ADDISON ST,0.12167126,630300,686000.0,6584.0,4740.0,42.3969484,-71.0327178,16 ADDISON ST CHELSEA MA,16+ADDISON+ST+CHELSEA+MA,"['42.3969484', ' -71.0327178']"
3,3,17,ADDISON ST,0.08780992,321300,332500.0,2736.0,1640.0,42.3971671,-71.0324005,17 ADDISON ST CHELSEA MA,17+ADDISON+ST+CHELSEA+MA,"['42.3971671', ' -71.0324005']"
4,4,22,ADDISON ST,0.06469238,309100,307500.0,3304.0,1832.0,42.3970917,-71.0328573,22 ADDISON ST CHELSEA MA,22+ADDISON+ST+CHELSEA+MA,"['42.3970917', ' -71.0328573']"
5,5,23,ADDISON ST,0.03165748,186400,92000.0,1300.0,840.0,42.3973757,-71.0328067,23 ADDISON ST CHELSEA MA,23+ADDISON+ST+CHELSEA+MA,"['42.3973757', ' -71.0328067']"
6,6,27,ADDISON ST,0.03700643,273200,80000.0,3195.0,1698.0,42.3974916,-71.032888,27 ADDISON ST CHELSEA MA,27+ADDISON+ST+CHELSEA+MA,"['42.3974916', ' -71.032888']"
7,7,33,ADDISON ST,0.08507805,335500,302500.0,2400.0,1500.0,42.3976538,-71.03313179999999,33 ADDISON ST CHELSEA MA,33+ADDISON+ST+CHELSEA+MA,"['42.3976538', ' -71.03313179999999']"
8,8,38,ADDISON ST,0.0,307100,135000.0,1619.0,1619.0,42.3974722,-71.03347649999999,38 ADDISON ST CHELSEA MA,38+ADDISON+ST+CHELSEA+MA,"['42.3974722', ' -71.03347649999999']"
9,9,41,ADDISON ST,0.09182736,347700,185000.0,3632.0,1849.0,42.39775969999999,-71.0333175,41 ADDISON ST CHELSEA MA,41+ADDISON+ST+CHELSEA+MA,"['42.39775969999999', ' -71.0333175']"
10,10,45,ADDISON ST,0.08723600000000001,502700,176000.0,4620.0,2850.0,42.3978572,-71.0334984,45 ADDISON ST CHELSEA MA,45+ADDISON+ST+CHELSEA+MA,"['42.3978572', ' -71.0334984']"
11,11,46,ADDISON ST,0.07651515,329700,22500.0,5154.0,2474.0,42.397577,-71.0335496,46 ADDISON ST CHELSEA MA,46+ADDISON+ST+CHELSEA+MA,"['42.397577', ' -71.0335496']"
12,12,48,ADDISON ST,0.08140496,402200,290000.0,5130.0,2699.0,42.3976299,-71.0336425,48 ADDISON ST CHELSEA MA,48+ADDISON+ST+CHELSEA+MA,"['42.3976299', ' -71.0336425']"
13,13,50,ADDISON ST,0.05785124,302500,150000.0,3295.0,2006.0,42.3976796,-71.03377019999999,50 ADDISON ST CHELSEA MA,50+ADDISON+ST+CHELSEA+MA,"['42.3976796', ' -71.03377019999999']"
14,14,51,ADDISON ST,0.05732323,390600,410000.0,4422.0,2580.0,42.3979101,-71.0335912,51 ADDISON ST CHELSEA MA,51+ADDISON+ST+CHELSEA+MA,"['42.3979101', ' -71.0335912']"
15,15,54,ADDISON ST,0.09348026,543700,586000.0,6622.0,4324.0,42.39784179999999,-71.03401389999999,54 ADDISON ST CHELSEA MA,54+ADDISON+ST+CHELSEA+MA,"['42.39784179999999', ' -71.03401389999999']"
16,16,55,ADDISON ST,0.062764,293500,310000.0,4241.0,2028.0,42.3980161,-71.033777,55 ADDISON ST CHELSEA MA,55+ADDISON+ST+CHELSEA+MA,"['42.3980161', ' -71.033777']"
17,17,58,ADDISON ST,0.05181359,10100,271500.0,8022.0,5246.0,42.3979506,-71.0342313,58 ADDISON ST CHELSEA MA,58+ADDISON+ST+CHELSEA+MA,"['42.3979506', ' -71.0342313']"
18,18,58,ADDISON ST,0.05181359,10100,271500.0,,,42.3979506,-71.0342313,58 ADDISON ST CHELSEA MA,58+ADDISON+ST+CHELSEA+MA,"['42.3979506', ' -71.0342313']"
19,19,59,ADDISON ST,0.06932966,393300,420000.0,4508.0,2372.0,42.398122,-71.0339627,59 ADDISON ST CHELSEA MA,59+ADDISON+ST+CHELSEA+MA,"['42.398122', ' -71.0339627']"
20,20,69,ADDISON ST,0.0785124,509100,425000.0,5676.0,3834.0,42.3985156,-71.0343604,69 ADDISON ST CHELSEA MA,69+ADDISON+ST+CHELSEA+MA,"['42.3985156', ' -71.0343604']"
21,21,70,ADDISON ST,0.06887052,399500,415000.0,2577.0,1712.0,42.3983239,-71.03466399999999,70 ADDISON ST CHELSEA MA,70+ADDISON+ST+CHELSEA+MA,"['42.3983239', ' -71.03466399999999']"
