,Name,GRADE,API_AD,coord,Lat,Lon,Color
0,227 MARGINAL ST CHELSEA MA,Average,227+MARGINAL+ST+CHELSEA+MA,"(42.38570199999999, -71.02921599999999)",42.396952,-71.032195,orange
1,257 MARGINAL ST CHELSEA MA,Below Average,257+MARGINAL+ST+CHELSEA+MA,"(42.3859321, -71.02582269999999)",42.3970916,-71.0322844,darkred
2,235 MARGINAL ST CHELSEA MA,Average,235+MARGINAL+ST+CHELSEA+MA,"(42.3853628, -71.0279547)",42.3969484,-71.0327178,orange
3,229 MARGINAL ST CHELSEA MA,Average,229+MARGINAL+ST+CHELSEA+MA,"(42.3856066, -71.02851190000001)",42.3971671,-71.0324005,orange
5,40 BROADWAY CHELSEA MA,Average,40+BROADWAY+CHELSEA+MA,"(42.3878134, -71.0439035)",42.3973757,-71.0328067,orange
6,54 BROADWAY CHELSEA MA,Average +10,54+BROADWAY+CHELSEA+MA,"(42.388096, -71.043548)",42.3974916,-71.032888,orange
7,33 MEDFORD ST CHELSEA MA,Average +10,33+MEDFORD+ST+CHELSEA+MA,"(42.38729439999999, -71.04195349999999)",42.3976538,-71.03313179999999,orange
8,69 BROADWAY CHELSEA MA,Average,69+BROADWAY+CHELSEA+MA,"(42.387823, -71.042821)",42.3974722,-71.03347649999999,orange
9,11 BROADWAY CHELSEA MA,Average,11+BROADWAY+CHELSEA+MA,"(42.3869649, -71.0438269)",42.39775969999999,-71.0333175,orange
10,11 BROADWAY CHELSEA MA,Average,11+BROADWAY+CHELSEA+MA,"(42.3869649, -71.0438269)",42.3978572,-71.0334984,orange
11,11 BROADWAY CHELSEA MA,Average,11+BROADWAY+CHELSEA+MA,"(42.3869649, -71.0438269)",42.397577,-71.0335496,orange
12,11 BROADWAY CHELSEA MA,Average,11+BROADWAY+CHELSEA+MA,"(42.3869649, -71.0438269)",42.3976299,-71.0336425,orange
13,24 BEACON ST CHELSEA MA,Average +10,24+BEACON+ST+CHELSEA+MA,"(42.3877953, -71.0416285)",42.3976796,-71.03377019999999,orange
14,14 PEMBROKE ST CHELSEA MA,Average,14+PEMBROKE+ST+CHELSEA+MA,"(42.3879466, -71.0405006)",42.3979101,-71.0335912,orange
15,34 WINNISIMMET ST CHELSEA MA,Average,34+WINNISIMMET+ST+CHELSEA+MA,"(42.38769660000001, -71.0404105)",42.39784179999999,-71.03401389999999,orange
16,44 WINNISIMMET ST CHELSEA MA,Below Average,44+WINNISIMMET+ST+CHELSEA+MA,"(42.3878947, -71.0402773)",42.3980161,-71.033777,darkred
