AV PID,Street Name,Street Number,Map,Lot,Land Area in Acres,Fiscal Year, Total Assessed Land Value , Total Appraised Improvements , Total Appraised Parcel Value ,Sale Date,Book/Page,Q U,Val Code,I V, Price ,Owner Occupied,Use Code,Use Descript, Effective Area , Gross Area , Living Area ,Year Built,,Style,Stories,Occupancy,Roof,Exterior Wall,Heat,Fuel,A/C,Room Count,Bedrooms,Baths,Half Baths,Grade
5489,ADAMS ST,20,80,90,0.09963269,2018," $82,300 "," $5,200 "," $87,500 ",12/3/2007, 42797/ 051,U,1A,I, $1 ,,1060,AC LND IMP  ," 89,819 "," 90,791 "," 89,637 ",1908,40,Light Indust,2,1,Flat,Brick/Masonry,Forced Air-Duc,Gas,Central,,0,0,,Average
5489,ADAMS ST,20,80,90,0.09963269,2018," $82,300 "," $5,200 "," $87,500 ",12/3/2007, 42797/ 051,U,1A,I, $1 ,,1060,AC LND IMP  ,,,,,,,,,,,,,,,,,,
3588,ADDISON ST,9,48,30,0.04132231,2018," $114,300 "," $218,600 "," $332,900 ",7/31/2006, 40091/ 138,Q,0,I," $360,000 ",,1050,THREE FAM," 2,082 "," 3,479 "," 1,810 ",1900,3F,3 Family,2,3,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,,5,3,0,Average
4064,ADDISON ST,11,57,176,0.07667585,2018," $146,000 "," $162,400 "," $308,400 ",3/18/1994,   536/  197,U,,," $98,000 ",,1040,TWO FAMILY  ," 2,083 "," 3,259 "," 1,904 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Hot Water,Oil,None,,4,2,0,Average
3584,ADDISON ST,14,48,27,0.11478421,2018," $176,800 "," $258,100 "," $434,900 ",9/26/1986, 12904/ 002,U,,, $-   ,Y,1040,TWO FAMILY  ," 2,999 "," 4,032 "," 2,756 ",1900,2F,2 Family,2.75,2,Gable/Hip,Vinyl Siding,Hot Water,Oil,None,12 Rooms,4,3,,Average
3585,ADDISON ST,16,48,28,0.12167126,2018," $177,000 "," $453,300 "," $630,300 ",11/23/2016, 57159/ 170,Q,0,I," $686,000 ",,1040,TWO FAMILY  ," 5,109 "," 6,584 "," 4,740 ",1894,10,Duplex,3,2,Mansard,Vinyl Siding,Hot Water,Gas,None,,10,4,2,Average
4063,ADDISON ST,17,57,175,0.08780992,2018," $155,000 "," $166,300 "," $321,300 ",10/14/2004, 35675/ 068,Q,0,I," $332,500 ",Y,1010,Single Fam," 1,762 "," 2,736 "," 1,640 ",1822,6,Conventional,2,1,Gable/Hip,Clapboard,Hot Water,Gas,None,,4,1,1,Average +20
3917,ADDISON ST,22,57,1,0.06469238,2018," $135,800 "," $173,300 "," $309,100 ",3/7/2002, 28124/ 178,Q,0,I," $307,500 ",Y,1040,TWO FAMILY  ," 2,104 "," 3,304 "," 1,832 ",1890,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,14 Rooms,6,3,0,Average
3920,ADDISON ST,23,57,4,0.03165748,2018," $105,500 "," $80,900 "," $186,400 ",10/9/2009, 45596/ 107,U,1S,I," $92,000 ",Y,1010,Single Fam," 1,005 "," 1,300 ", 840 ,1890,6,Conventional,2,1,Mansard,Wood Shingle,Forced Air-Duc,Oil,None,,3,1,0,Average
3919,ADDISON ST,27,57,3,0.03700643,2018," $110,400 "," $162,800 "," $273,200 ",5/8/2009, 44902/ 128,U,1S,I," $80,000 ",,1040,TWO FAMILY  ," 1,911 "," 3,195 "," 1,698 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Hot Water,Oil,None,,5,2,0,Average
3918,ADDISON ST,31,57,2,0.07077594,2018," $141,200 "," $192,800 "," $334,000 ",12/11/2017, 58912/ 196,U,1F,I, $1 ,Y,1040,TWO FAMILY  ," 2,166 "," 3,526 "," 1,882 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Steam,Oil,Central,,4,2,0,Average
3884,ADDISON ST,33,56,128,0.08507805,2018," $152,800 "," $182,700 "," $335,500 ",10/25/2002,LC 118813,Q,0,I," $302,500 ",Y,1010,Single Fam," 1,770 "," 2,400 "," 1,500 ",1988,3,Colonial,2,1,Gable/Hip,Vinyl Siding,Electr Basebrd,Electric,None,,3,3,0,Average
100624,ADDISON ST,38,56,  130A2,0,2018, $-   ," $307,100 "," $307,100 ",4/5/1999, 23617/ 247,Q,0,I," $135,000 ",Y,1021,Condo  ," 1,619 "," 1,619 "," 1,619 ",1999,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,,5,2,0,Average
