lat,long,og
42.3221868,-71.330687,"(42.3221868, -71.330687)"
42.3054363,-71.3504973,"(42.3054363, -71.3504973)"
42.3054363,-71.3504973,"(42.3054363, -71.3504973)"
42.3055227,-71.35012619999999,"(42.3055227, -71.35012619999999)"
42.3055227,-71.35012619999999,"(42.3055227, -71.35012619999999)"
42.3055341,-71.3486417,"(42.3055341, -71.3486417)"
42.3055341,-71.3486417,"(42.3055341, -71.3486417)"
42.2657296,-71.3320789,"(42.2657296, -71.3320789)"
42.2928825,-71.328924,"(42.2928825, -71.328924)"
42.2928825,-71.328924,"(42.2928825, -71.328924)"
42.2915873,-71.3307334,"(42.2915873, -71.3307334)"
42.2915873,-71.3307334,"(42.2915873, -71.3307334)"
42.2917168,-71.3301767,"(42.2917168, -71.3301767)"
42.2921679,-71.3288776,"(42.2921679, -71.3288776)"
42.2960155,-71.36594579999999,"(42.2960155, -71.36594579999999)"
42.3054886,-71.33881339999999,"(42.3054886, -71.33881339999999)"
42.3053721,-71.3392782,"(42.3053721, -71.3392782)"
42.3053721,-71.3392782,"(42.3053721, -71.3392782)"
42.3088212,-71.3638441,"(42.3088212, -71.3638441)"
42.27891,-71.3533736,"(42.27891, -71.3533736)"
42.27891,-71.3533736,"(42.27891, -71.3533736)"
42.27915489999999,-71.3532809,"(42.27915489999999, -71.3532809)"
42.2760355,-71.3834811,"(42.2760355, -71.3834811)"
42.2759333,-71.3837594,"(42.2759333, -71.3837594)"
42.2940609,-71.3793525,"(42.2940609, -71.3793525)"
42.2816859,-71.3425664,"(42.2816859, -71.3425664)"
42.2791082,-71.3286348,"(42.2791082, -71.3286348)"
42.29413,-71.3248412,"(42.29413, -71.3248412)"
42.2943444,-71.32655780000002,"(42.2943444, -71.32655780000002)"
42.2943136,-71.3273698,"(42.2943136, -71.3273698)"
42.2943338,-71.3280425,"(42.2943338, -71.3280425)"
42.29416579999999,-71.3312699,"(42.29416579999999, -71.3312699)"
42.2929147,-71.33973399999999,"(42.2929147, -71.33973399999999)"
42.2924273,-71.3421465,"(42.2924273, -71.3421465)"
42.293786,-71.3475745,"(42.293786, -71.3475745)"
42.294327,-71.3492447,"(42.294327, -71.3492447)"
42.2952147,-71.34954619999999,"(42.2952147, -71.34954619999999)"
42.2973785,-71.3503581,"(42.2973785, -71.3503581)"
42.2973785,-71.3503581,"(42.2973785, -71.3503581)"
42.2966807,-71.3525154,"(42.2966807, -71.3525154)"
42.2966807,-71.3525154,"(42.2966807, -71.3525154)"
42.2967127,-71.3528169,"(42.2967127, -71.3528169)"
42.2973492,-71.3549073,"(42.2973492, -71.3549073)"
42.2970498,-71.3570386,"(42.2970498, -71.3570386)"
42.29741689999999,-71.35732039999999,"(42.29741689999999, -71.35732039999999)"
42.2979032,-71.3616778,"(42.2979032, -71.3616778)"
42.298253,-71.36321889999999,"(42.298253, -71.36321889999999)"
42.298253,-71.36321889999999,"(42.298253, -71.36321889999999)"
42.2983931,-71.3656592,"(42.2983931, -71.3656592)"
42.2722175,-71.3186647,"(42.2722175, -71.3186647)"
42.2722175,-71.3186647,"(42.2722175, -71.3186647)"
42.2722276,-71.31935709999999,"(42.2722276, -71.31935709999999)"
42.294125,-71.3805154,"(42.294125, -71.3805154)"
42.2937234,-71.38111409999999,"(42.2937234, -71.38111409999999)"
42.293442,-71.3812081,"(42.293442, -71.3812081)"
42.293356,-71.3813953,"(42.293356, -71.3813953)"
42.2931747,-71.3816581,"(42.2931747, -71.3816581)"
42.2928101,-71.3823214,"(42.2928101, -71.3823214)"
42.2928101,-71.3823214,"(42.2928101, -71.3823214)"
42.2926531,-71.38426969999999,"(42.2926531, -71.38426969999999)"
42.2926531,-71.38426969999999,"(42.2926531, -71.38426969999999)"
42.302742,-71.3295189,"(42.302742, -71.3295189)"
42.2935075,-71.3375071,"(42.2935075, -71.3375071)"
42.2935075,-71.3375071,"(42.2935075, -71.3375071)"
42.2941519,-71.33713589999999,"(42.2941519, -71.33713589999999)"
42.2941519,-71.33713589999999,"(42.2941519, -71.33713589999999)"
42.3098099,-71.3677024,"(42.3098099, -71.3677024)"
42.2910655,-71.35086840000001,"(42.2910655, -71.35086840000001)"
42.2914982,-71.3510076,"(42.2914982, -71.3510076)"
42.29257279999999,-71.35096109999999,"(42.29257279999999, -71.35096109999999)"
42.293688,-71.35163899999999,"(42.293688, -71.35163899999999)"
42.2939875,-71.3525386,"(42.2939875, -71.3525386)"
42.2939875,-71.3525386,"(42.2939875, -71.3525386)"
42.2948353,-71.3524922,"(42.2948353, -71.3524922)"
42.29641489999999,-71.3532425,"(42.29641489999999, -71.3532425)"
42.27221309999999,-71.3556005,"(42.27221309999999, -71.3556005)"
42.2980025,-71.3761942,"(42.2980025, -71.3761942)"
42.2980025,-71.3761942,"(42.2980025, -71.3761942)"
42.2980025,-71.3761942,"(42.2980025, -71.3761942)"
42.2980025,-71.3761942,"(42.2980025, -71.3761942)"
42.2865415,-71.35383759999999,"(42.2865415, -71.35383759999999)"
42.2862235,-71.3761052,"(42.2862235, -71.3761052)"
42.2864873,-71.3765691,"(42.2864873, -71.3765691)"
42.2858649,-71.3779608,"(42.2858649, -71.3779608)"
42.3055975,-71.3338651,"(42.3055975, -71.3338651)"
42.3080752,-71.33458759999999,"(42.3080752, -71.33458759999999)"
42.3080752,-71.33458759999999,"(42.3080752, -71.33458759999999)"
42.3087021,-71.3351874,"(42.3087021, -71.3351874)"
42.3087021,-71.3351874,"(42.3087021, -71.3351874)"
42.3091639,-71.33528009999999,"(42.3091639, -71.33528009999999)"
42.3086293,-71.3372983,"(42.3086293, -71.3372983)"
42.3086293,-71.3372983,"(42.3086293, -71.3372983)"
42.3082752,-71.3638582,"(42.3082752, -71.3638582)"
42.2911727,-71.40096919999999,"(42.2911727, -71.40096919999999)"
42.2909728,-71.4011084,"(42.2909728, -71.4011084)"
42.3045599,-71.3589243,"(42.3045599, -71.3589243)"
42.3042699,-71.3594974,"(42.3042699, -71.3594974)"
42.3044654,-71.3597757,"(42.3044654, -71.3597757)"
42.3059457,-71.3596623,"(42.3059457, -71.3596623)"
42.3059457,-71.3596623,"(42.3059457, -71.3596623)"
42.3059457,-71.3596623,"(42.3059457, -71.3596623)"
42.2902747,-71.3929443,"(42.2902747, -71.3929443)"
42.2988807,-71.3287036,"(42.2988807, -71.3287036)"
42.2992906,-71.3283209,"(42.2992906, -71.3283209)"
42.2989261,-71.3254907,"(42.2989261, -71.3254907)"
42.3073756,-71.3511932,"(42.3073756, -71.3511932)"
42.3073756,-71.3511932,"(42.3073756, -71.3511932)"
42.3101886,-71.348456,"(42.3101886, -71.348456)"
42.3101886,-71.348456,"(42.3101886, -71.348456)"
42.3101886,-71.348456,"(42.3101886, -71.348456)"
42.2861043,-71.39048570000001,"(42.2861043, -71.39048570000001)"
42.2860421,-71.39011459999999,"(42.2860421, -71.39011459999999)"
42.2775281,-71.3468091,"(42.2775281, -71.3468091)"
42.2758056,-71.32041029999999,"(42.2758056, -71.32041029999999)"
42.2758056,-71.32041029999999,"(42.2758056, -71.32041029999999)"
42.2897451,-71.3980005,"(42.2897451, -71.3980005)"
42.2892381,-71.3978613,"(42.2892381, -71.3978613)"
42.2863329,-71.39540280000001,"(42.2863329, -71.39540280000001)"
42.3050222,-71.3298567,"(42.3050222, -71.3298567)"
42.3050222,-71.3298567,"(42.3050222, -71.3298567)"
42.2903859,-71.3805122,"(42.2903859, -71.3805122)"
42.2903859,-71.3805122,"(42.2903859, -71.3805122)"
42.290669,-71.37953809999999,"(42.290669, -71.37953809999999)"
42.3008973,-71.3254907,"(42.3008973, -71.3254907)"
42.3008973,-71.3254907,"(42.3008973, -71.3254907)"
42.3006076,-71.32553709999999,"(42.3006076, -71.32553709999999)"
42.2721797,-71.3742497,"(42.2721797, -71.3742497)"
42.2716681,-71.374528,"(42.2716681, -71.374528)"
42.2700748,-71.3775665,"(42.2700748, -71.3775665)"
42.2700748,-71.3775665,"(42.2700748, -71.3775665)"
42.2696395,-71.3770794,"(42.2696395, -71.3770794)"
42.2697337,-71.37775210000001,"(42.2697337, -71.37775210000001)"
42.284623,-71.381827,"(42.284623, -71.381827)"
42.284313,-71.3835739,"(42.284313, -71.3835739)"
42.2838015,-71.38385219999999,"(42.2838015, -71.38385219999999)"
42.2838015,-71.38385219999999,"(42.2838015, -71.38385219999999)"
42.2837138,-71.3851047,"(42.2837138, -71.3851047)"
42.2836849,-71.3862644,"(42.2836849, -71.3862644)"
42.2843762,-71.391722,"(42.2843762, -71.391722)"
42.3055582,-71.3288776,"(42.3055582, -71.3288776)"
42.3063824,-71.328692,"(42.3063824, -71.328692)"
42.3231084,-71.3306406,"(42.3231084, -71.3306406)"
42.3231084,-71.3306406,"(42.3231084, -71.3306406)"
42.2995327,-71.3470178,"(42.2995327, -71.3470178)"
42.2725509,-71.37513109999999,"(42.2725509, -71.37513109999999)"
42.2757418,-71.3566675,"(42.2757418, -71.3566675)"
42.2771227,-71.31662899999999,"(42.2771227, -71.31662899999999)"
42.2771227,-71.31662899999999,"(42.2771227, -71.31662899999999)"
42.2806442,-71.3596814,"(42.2806442, -71.3596814)"
42.2806442,-71.3596814,"(42.2806442, -71.3596814)"
42.303199,-71.3475107,"(42.303199, -71.3475107)"
42.3036431,-71.3474796,"(42.3036431, -71.3474796)"
42.3058037,-71.3460436,"(42.3058037, -71.3460436)"
42.3055773,-71.34657709999999,"(42.3055773, -71.34657709999999)"
42.2905544,-71.3517376,"(42.2905544, -71.3517376)"
42.2919353,-71.3527241,"(42.2919353, -71.3527241)"
42.2919353,-71.3527241,"(42.2919353, -71.3527241)"
42.293157,-71.3529097,"(42.293157, -71.3529097)"
42.2947068,-71.3779177,"(42.2947068, -71.3779177)"
42.2945271,-71.3781846,"(42.2945271, -71.3781846)"
42.2940275,-71.37778209999999,"(42.2940275, -71.37778209999999)"
42.2807994,-71.3424713,"(42.2807994, -71.3424713)"
42.315554,-71.361204,"(42.315554, -71.361204)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2775281,-71.3468091,"(42.2775281, -71.3468091)"
42.2775281,-71.3468091,"(42.2775281, -71.3468091)"
42.2775281,-71.3468091,"(42.2775281, -71.3468091)"
42.2932074,-71.37559499999999,"(42.2932074, -71.37559499999999)"
42.2933503,-71.3747831,"(42.2933503, -71.3747831)"
42.2707911,-71.3320789,"(42.2707911, -71.3320789)"
42.2707911,-71.3320789,"(42.2707911, -71.3320789)"
42.269852,-71.3319165,"(42.269852, -71.3319165)"
42.2927426,-71.39568109999999,"(42.2927426, -71.39568109999999)"
42.2934141,-71.3959131,"(42.2934141, -71.3959131)"
42.29426369999999,-71.3960986,"(42.29426369999999, -71.3960986)"
42.293617,-71.3972351,"(42.293617, -71.3972351)"
42.293617,-71.3972351,"(42.293617, -71.3972351)"
42.285564,-71.35231929999999,"(42.285564, -71.35231929999999)"
42.285564,-71.35231929999999,"(42.285564, -71.35231929999999)"
42.2755008,-71.3434919,"(42.2755008, -71.3434919)"
42.2953482,-71.37327549999999,"(42.2953482, -71.37327549999999)"
42.2953378,-71.3738785,"(42.2953378, -71.3738785)"
42.2707908,-71.38083689999999,"(42.2707908, -71.38083689999999)"
42.3105953,-71.38998459999999,"(42.3105953, -71.38998459999999)"
42.2808575,-71.3512289,"(42.2808575, -71.3512289)"
42.281452,-71.350784,"(42.281452, -71.350784)"
42.2784055,-71.3457188,"(42.2784055, -71.3457188)"
42.2784055,-71.3457188,"(42.2784055, -71.3457188)"
42.2784962,-71.3449301,"(42.2784962, -71.3449301)"
42.2797556,-71.34738399999999,"(42.2797556, -71.34738399999999)"
42.278703,-71.3471203,"(42.278703, -71.3471203)"
42.2782407,-71.3465655,"(42.2782407, -71.3465655)"
42.2782407,-71.3465655,"(42.2782407, -71.3465655)"
42.278062,-71.3465539,"(42.278062, -71.3465539)"
42.278062,-71.3465539,"(42.278062, -71.3465539)"
42.27786820000001,-71.34650750000002,"(42.27786820000001, -71.34650750000002)"
42.2764567,-71.3468554,"(42.2764567, -71.3468554)"
42.2761737,-71.3468322,"(42.2761737, -71.3468322)"
42.2724891,-71.34509179999999,"(42.2724891, -71.34509179999999)"
42.2710906,-71.3449301,"(42.2710906, -71.3449301)"
42.2663905,-71.34353829999999,"(42.2663905, -71.34353829999999)"
42.2663905,-71.34353829999999,"(42.2663905, -71.34353829999999)"
42.2630421,-71.3417753,"(42.2630421, -71.3417753)"
42.2637166,-71.3433527,"(42.2637166, -71.3433527)"
42.2637166,-71.3433527,"(42.2637166, -71.3433527)"
42.2612858,-71.3428424,"(42.2612858, -71.3428424)"
42.2613117,-71.3423321,"(42.2613117, -71.3423321)"
42.2606747,-71.34274959999999,"(42.2606747, -71.34274959999999)"
42.2606747,-71.34274959999999,"(42.2606747, -71.34274959999999)"
42.2691358,-71.3492447,"(42.2691358, -71.3492447)"
42.2711457,-71.3723013,"(42.2711457, -71.3723013)"
42.2881491,-71.3738321,"(42.2881491, -71.3738321)"
42.28872190000001,-71.3748063,"(42.28872190000001, -71.3748063)"
42.28872190000001,-71.3748063,"(42.28872190000001, -71.3748063)"
42.2895733,-71.3752238,"(42.2895733, -71.3752238)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.3075704,-71.366085,"(42.3075704, -71.366085)"
42.3075704,-71.366085,"(42.3075704, -71.366085)"
42.3071959,-71.3677318,"(42.3071959, -71.3677318)"
42.3071959,-71.3677318,"(42.3071959, -71.3677318)"
42.30748,-71.368397,"(42.30748, -71.368397)"
42.2789544,-71.3474354,"(42.2789544, -71.3474354)"
42.2838015,-71.38385219999999,"(42.2838015, -71.38385219999999)"
42.2838015,-71.38385219999999,"(42.2838015, -71.38385219999999)"
42.2906702,-71.38997549999999,"(42.2906702, -71.38997549999999)"
42.2910717,-71.3899291,"(42.2910717, -71.3899291)"
42.2886456,-71.3888853,"(42.2886456, -71.3888853)"
42.2889399,-71.388268,"(42.2889399, -71.388268)"
42.2880816,-71.3880736,"(42.2880816, -71.3880736)"
42.2880816,-71.3880736,"(42.2880816, -71.3880736)"
42.2772838,-71.3518891,"(42.2772838, -71.3518891)"
