lat,long,og
42.30715720000001,-71.3582594,"(42.30715720000001, -71.3582594)"
42.277832,-71.38689,"(42.277832, -71.38689)"
42.2929373,-71.338091,"(42.2929373, -71.338091)"
42.2853621,-71.3464501,"(42.2853621, -71.3464501)"
42.3041719,-71.3524176,"(42.3041719, -71.3524176)"
42.3162235,-71.3317077,"(42.3162235, -71.3317077)"
42.2753521,-71.3271146,"(42.2753521, -71.3271146)"
42.2731649,-71.3397133,"(42.2731649, -71.3397133)"
42.2773469,-71.32525869999999,"(42.2773469, -71.32525869999999)"
42.2841202,-71.3919417,"(42.2841202, -71.3919417)"
42.300738,-71.3259886,"(42.300738, -71.3259886)"
42.24964370000001,-71.317579,"(42.24964370000001, -71.317579)"
42.271862,-71.3324403,"(42.271862, -71.3324403)"
42.3207987,-71.32904529999999,"(42.3207987, -71.32904529999999)"
42.2775121,-71.34667569999999,"(42.2775121, -71.34667569999999)"
42.2964847,-71.3574297,"(42.2964847, -71.3574297)"
42.3149336,-71.352809,"(42.3149336, -71.352809)"
42.3102627,-71.3337985,"(42.3102627, -71.3337985)"
42.3037056,-71.38350910000001,"(42.3037056, -71.38350910000001)"
42.2938139,-71.3927812,"(42.2938139, -71.3927812)"
42.2921089,-71.376515,"(42.2921089, -71.376515)"
42.2939043,-71.3481699,"(42.2939043, -71.3481699)"
42.2870897,-71.3918138,"(42.2870897, -71.3918138)"
42.272505,-71.33814799999999,"(42.272505, -71.33814799999999)"
42.2908566,-71.39530049999999,"(42.2908566, -71.39530049999999)"
42.300864,-71.32954680000002,"(42.300864, -71.32954680000002)"
42.280391,-71.39712999999999,"(42.280391, -71.39712999999999)"
42.3297102,-71.3305479,"(42.3297102, -71.3305479)"
42.31533839999999,-71.3432188,"(42.31533839999999, -71.3432188)"
42.3292902,-71.329156,"(42.3292902, -71.329156)"
42.2749532,-71.3934129,"(42.2749532, -71.3934129)"
42.2894719,-71.3516803,"(42.2894719, -71.3516803)"
42.280067,-71.387626,"(42.280067, -71.387626)"
42.2762573,-71.3248644,"(42.2762573, -71.3248644)"
42.2545462,-71.3139022,"(42.2545462, -71.3139022)"
42.2746479,-71.37840299999999,"(42.2746479, -71.37840299999999)"
42.3036985,-71.3622847,"(42.3036985, -71.3622847)"
42.2629204,-71.3426357,"(42.2629204, -71.3426357)"
42.2818369,-71.3955943,"(42.2818369, -71.3955943)"
42.2913414,-71.3763194,"(42.2913414, -71.3763194)"
42.2612827,-71.32743599999999,"(42.2612827, -71.32743599999999)"
42.2952239,-71.3805893,"(42.2952239, -71.3805893)"
42.2900804,-71.3281909,"(42.2900804, -71.3281909)"
42.2622362,-71.30711749999999,"(42.2622362, -71.30711749999999)"
42.2779801,-71.3763864,"(42.2779801, -71.3763864)"
42.2785772,-71.3275319,"(42.2785772, -71.3275319)"
42.2843683,-71.3441347,"(42.2843683, -71.3441347)"
42.2931265,-71.39108879999999,"(42.2931265, -71.39108879999999)"
42.2836068,-71.337475,"(42.2836068, -71.337475)"
42.2917299,-71.3259918,"(42.2917299, -71.3259918)"
42.2969375,-71.35291169999999,"(42.2969375, -71.35291169999999)"
42.3297502,-71.3327748,"(42.3297502, -71.3327748)"
42.2613117,-71.3423321,"(42.2613117, -71.3423321)"
42.2882502,-71.3752507,"(42.2882502, -71.3752507)"
42.2913187,-71.3842722,"(42.2913187, -71.3842722)"
42.2947965,-71.38213499999999,"(42.2947965, -71.38213499999999)"
42.2672861,-71.31126069999999,"(42.2672861, -71.31126069999999)"
42.2850989,-71.3393408,"(42.2850989, -71.3393408)"
42.2815249,-71.38015779999999,"(42.2815249, -71.38015779999999)"
42.3079003,-71.3331631,"(42.3079003, -71.3331631)"
42.3041719,-71.3524176,"(42.3041719, -71.3524176)"
42.273197,-71.3794118,"(42.273197, -71.3794118)"
42.31699709999999,-71.34116139999999,"(42.31699709999999, -71.34116139999999)"
42.2635782,-71.3264853,"(42.2635782, -71.3264853)"
42.32673519999999,-71.3344564,"(42.32673519999999, -71.3344564)"
