new_stop
"(42.25975953333333, -71.30707109999999)"
"(42.2747125, -71.32670176666666)"
"(42.2748841, -71.3130564)"
"(42.276238899999996, -71.32536314999999)"
"(42.280226, -71.3906879)"
"(42.2767253, -71.3162578)"
"(42.2710293, -71.3140308)"
"(42.277729975, -71.371142075)"
"(42.28645375714286, -71.39028691428571)"
"(42.2670403, -71.32449319999999)"
"(42.2802438, -71.3575489)"
"(42.272313925, -71.3758274)"
"(42.27339705, -71.3383721)"
"(42.29552108888889, -71.37437326111112)"
"(42.276500775, -71.340950125)"
"(42.2748244, -71.34875796666667)"
"(42.2745048, -71.37002815)"
"(42.278383399999996, -71.34873995)"
"(42.27971785, -71.3849946)"
"(42.29550866111111, -71.3801536611111)"
"(42.2654279, -71.35388864999999)"
"(42.274757175, -71.34382827499999)"
"(42.2680297, -71.3225214)"
"(42.226855650000005, -71.37863469999999)"
"(42.27338630000001, -71.35348119999999)"
"(42.27632714999999, -71.38022616666666)"
"(42.275779512499994, -71.38320277499999)"
"(42.2756574, -71.37956125)"
"(42.29628647142857, -71.3953295)"
"(42.25544873333333, -71.34842506666666)"
"(42.259893, -71.34274959999999)"
"(42.267541400000006, -71.35408607142857)"
"(42.268481825, -71.34668145)"
"(42.2696413625, -71.33732315)"
"(42.275832449999996, -71.372173725)"
"(42.273154725, -71.37333637500001)"
"(42.2716834, -71.3534432)"
"(42.3054638, -71.3373158)"
"(42.273969019999996, -71.36792204)"
"(42.284892914285706, -71.39415365714287)"
"(42.28542516874999, -71.38149318125)"
"(42.29371985999999, -71.40009250999998)"
"(42.27900204285714, -71.34648608571429)"
"(42.273009566666666, -71.32161513333334)"
"(42.26294535, -71.3172438)"
"(42.2736524, -71.3945745)"
"(42.28724698571428, -71.39928731428571)"
"(42.28082455, -71.3610631)"
"(42.2708534, -71.34506929999999)"
"(42.2620654, -71.3474818)"
"(42.269761599999995, -71.34098087499999)"
"(42.276607150000004, -71.37302034999999)"
"(42.273022233333336, -71.31097643333332)"
"(42.2594029, -71.3419377)"
"(42.2654232, -71.3147731)"
"(42.29179472, -71.39779636)"
"(42.2698325, -71.350555875)"
"(42.27210915, -71.31098469999999)"
"(42.28161058, -71.35226021999999)"
"(42.27503170000001, -71.37311310000001)"
"(42.29244592857143, -71.37665598571428)"
"(42.272187862500004, -71.3851598)"
"(42.29174332142857, -71.38080697857141)"
"(42.2774072, -71.3865357)"
"(42.277720625, -71.39414504999999)"
"(42.275166799999994, -71.31915765)"
"(42.261041175, -71.33845238750001)"
"(42.28140046666666, -71.3958106)"
"(42.2606747, -71.34274959999999)"
"(42.27165794285714, -71.36675098571426)"
"(42.27115992857143, -71.36899067142856)"
"(42.274037075, -71.34170867499999)"
"(42.271704449999994, -71.37388303333334)"
"(42.2805674, -71.38953479999999)"
"(42.286491762500006, -71.3775539625)"
"(42.270663, -71.2370961)"
"(42.292608560000005, -71.39212785999999)"
"(42.27293519999999, -71.32852116000001)"
"(42.2765228, -71.3321949)"
"(42.26410108333334, -71.33587504999998)"
"(42.259794, -71.3550726)"
"(42.270855749999996, -71.3198536)"
"(42.27863294, -71.37644386000001)"
"(42.2787212, -71.3549916)"
"(42.28607935000001, -71.38538621250001)"
"(42.26188595, -71.3497978)"
"(42.269496866666664, -71.37589650000001)"
"(42.289083278160994, -71.37442741034475)"
"(42.25873716666666, -71.33567065)"
"(42.26780065, -71.31079224999999)"
"(42.29510208333333, -71.3926273)"
"(42.27196483333333, -71.35039573333333)"
"(42.2699626, -71.3311341)"
"(42.277601000000004, -71.31423036666666)"
"(42.2497965, -71.3242148)"
"(42.3023782125, -71.35571107499999)"
"(42.2720317, -71.37983960000001)"
"(42.28965865238095, -71.38886478571428)"
"(42.2595524, -71.3400588)"
"(42.2785874, -71.3569922)"
"(42.264169225, -71.3300491)"
"(42.278035, -71.3528169)"
"(42.27332327777778, -71.3843728)"
"(42.27519707142857, -71.38106301428571)"
"(42.27168146, -71.38253173999999)"
"(42.2750411, -71.3896661)"
"(42.29324649473685, -71.38277488421055)"
"(42.2722175, -71.3186647)"
"(42.28401663333334, -71.38968593333333)"
"(42.25833086666667, -71.32866109999999)"
"(42.250132699999995, -71.31575905)"
"(42.2708317, -71.3167015)"
"(42.25797508, -71.33849565999999)"
"(42.27533042, -71.33526158000001)"
"(42.28641407692308, -71.39634478461538)"
"(42.26841625, -71.34262472500001)"
"(42.27524975, -71.37724180000001)"
