new_stop
"(42.26958603333333, -71.31223673333334)"
"(42.269433299999996, -71.342100125)"
"(42.27172693333333, -71.31069659999999)"
"(42.26068205, -71.34751365)"
"(42.2756287, -71.3730667)"
"(42.2224289, -71.3824606)"
"(42.2783643, -71.37717219999999)"
"(42.278071866666664, -71.37093663333333)"
"(42.27469522, -71.32518453999998)"
"(42.27428309999999, -71.31439685)"
"(42.2851051, -71.3469482)"
"(42.2767208, -71.37172662)"
"(42.25829342857143, -71.35093020000001)"
"(42.27793355714285, -71.31525695714285)"
"(42.27178436666667, -71.3497241)"
"(42.266850074999994, -71.315224825)"
"(42.27234872999999, -71.37651131999999)"
"(42.2721828, -71.33761725)"
"(42.268029975, -71.3484502)"
"(42.2679805, -71.3546603)"
"(42.30493774999999, -71.34690194999999)"
"(42.2591075, -71.3402907)"
"(42.2619032, -71.3418366)"
"(42.27083246363636, -71.36777481818183)"
"(42.279936549999995, -71.39607855)"
"(42.275156333333335, -71.37073176666667)"
"(42.2711558, -71.34551739999999)"
"(42.277916375000004, -71.372197425)"
"(42.24932486666666, -71.3200469)"
"(42.272453799999994, -71.37226337333331)"
"(42.26778049999999, -71.35181176666667)"
"(42.271573985714284, -71.38411782857143)"
"(42.27526135, -71.38283165)"
"(42.274240699999986, -71.32929636666667)"
"(42.2743845, -71.36945779999999)"
"(42.26564222307694, -71.33102769230767)"
"(42.26021565, -71.34259302499999)"
"(42.275699474999996, -71.379978725)"
"(42.27655645, -71.38203727499999)"
"(42.27244756666667, -71.38193094999998)"
"(42.272782825, -71.36639495)"
"(42.2630694, -71.3463683)"
"(42.276049699999994, -71.333087975)"
"(42.2594029, -71.3419377)"
"(42.2723693, -71.33405069999999)"
"(42.2736177, -71.3115021)"
"(42.2654685, -71.35422664999999)"
"(42.264591749999994, -71.31646659999998)"
"(42.26320173333333, -71.32767133333333)"
"(42.2707675, -71.3514252)"
"(42.26197639090909, -71.35048978181817)"
"(42.2637834, -71.330687)"
"(42.27040119999999, -71.3375071)"
"(42.2728134, -71.38000603333334)"
"(42.2706992, -71.34208463333333)"
"(42.27479095, -71.34178798333332)"
"(42.2650495, -71.351286)"
"(42.27511753333334, -71.3735693)"
"(42.260684600000005, -71.3347814)"
"(42.27737066666666, -71.37339816666668)"
"(42.27375046428572, -71.38387705714285)"
"(42.264252025, -71.333753925)"
"(42.259453230000005, -71.34413012)"
"(42.32778379999995, -71.35613400000007)"
"(42.27528887272727, -71.32032148181817)"
"(42.271239075, -71.3705080125)"
"(42.261072325, -71.329458025)"
"(42.257754, -71.3444198)"
"(42.272922, -71.37090959999999)"
"(42.2576554, -71.3382958)"
"(42.26887970000001, -71.33859484999999)"
"(42.2727045, -71.37475994)"
"(42.27531596, -71.34324548)"
"(42.27145555, -71.38088915)"
"(42.26141473333333, -71.33923528333334)"
"(42.26951367499999, -71.3532113)"
"(42.2677794, -71.3092054)"
"(42.17647789999999, -71.3339579)"
"(42.2711736, -71.33922369999999)"
"(42.2743749, -71.3782392)"
"(42.2543993, -71.34583479999999)"
"(42.2555208, -71.3405459)"
"(42.263203366666666, -71.31739456666666)"
"(42.26690903333333, -71.34589749999999)"
"(42.27518538333334, -71.33504816666665)"
"(42.2761462, -71.3761516)"
"(42.26888925, -71.34362097500001)"
"(42.260849075, -71.35181945000001)"
"(42.2758642, -71.33893518)"
"(42.2624104, -71.3074887)"
"(42.27545353333333, -71.32771773333333)"
"(42.26246786, -71.33705111999998)"
"(42.273359516666666, -71.31801266666666)"
"(42.2801788, -71.3558324)"
"(42.2697138, -71.33043934999999)"
"(42.26856595, -71.346240725)"
"(42.2729505, -71.33994275)"
"(42.258609, -71.3413114)"
"(42.27515296, -71.34796658)"
