STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACMH,ACSH,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDFG,WESD,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/1/1990,50,60,21.92,1303,0.06,0,0,,52,27,247,270,,44.7,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/2/1990,20,50,17.67,1051,0,0,0,,40,26,538,270,,31.1,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/3/1990,10,10,10.74,159,0,0,0,,49,30,534,225,,24.2,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/4/1990,70,100,15.21,1941,0,0,0,,48,32,32,225,,33.3,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/5/1990,30,60,13.2,428,0,0,0,,47,33,499,270,,30,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/6/1990,50,70,11.63,2033,0,0,0,,41,31,287,270,,26.4,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/7/1990,50,70,14.32,1449,0,0,0,,37,25,351,180,,30,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/8/1990,70,80,10.51,348,0.06,0,0,,42,32,133,315,,24.2,1,,,,,,,,,,,,,,1,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/9/1990,70,60,12.3,2018,0.02,0,0,,44,32,404,225,,25.3,1,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/10/1990,100,100,10.74,2208,0,0,0,,44,37,0,270,,25.3,1,1,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/11/1990,70,100,13.87,1744,0.02,0,0,,41,36,20,180,,24.2,,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/12/1990,60,90,15.21,1314,0,0,0,,44,31,175,270,,34.4,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/13/1990,0,0,19.69,2105,0,0,0,,32,20,562,315,,34.4,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/14/1990,50,20,13.2,1024,0,0,0,,26,15,458,315,,28.9,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/15/1990,100,100,10.07,903,0.04,0.5,0,,37,21,0,180,,18.3,1,,,,,,,,,,,,1,,1,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/16/1990,40,10,8.5,118,0,0,0,,47,31,555,270,,16.1,1,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/17/1990,70,70,9.4,2133,0,0,0,,52,34,385,225,,28.9,1,1,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/18/1990,60,80,17.45,2004,0,0,0,,63,42,388,315,,35.6,,,,,,,,,,,,,,,1,,,,,
