,Crash Number,Crash Date,Crash Severity,Ambient Light
0,1403053,11/25/2001,Non-fatal injury,Dark - lighted roadway
1,1403045,11/23/2001,Non-fatal injury,Dark - lighted roadway
2,1403048,11/25/2001,Non-fatal injury,Daylight
3,1401357,11/19/2001,Non-fatal injury,Dark - lighted roadway
4,1401360,11/19/2001,Non-fatal injury,Daylight
5,1402888,11/25/2001,Non-fatal injury,Dark - lighted roadway
6,1403023,11/20/2001,Non-fatal injury,Daylight
7,1400524,11/9/2001,Not Reported,
8,1401351,11/16/2001,Non-fatal injury,Daylight
9,1401354,11/16/2001,Non-fatal injury,Dark - lighted roadway
10,1401356,11/15/2001,Non-fatal injury,Daylight
11,1406308,12/25/2001,Not Reported,Dark - lighted roadway
12,1406400,12/29/2001,Non-fatal injury,Dark - lighted roadway
13,1408799,12/27/2001,Non-fatal injury,Daylight
14,1421933,3/26/2002,Non-fatal injury,Dark - lighted roadway
15,1414781,3/5/2002,Non-fatal injury,Daylight
16,1414795,2/15/2002,Non-fatal injury,Daylight
17,1414808,2/22/2002,Not Reported,Dark - lighted roadway
18,1414817,2/25/2002,Non-fatal injury,Daylight
19,1416846,2/1/2002,Not Reported,Dark - lighted roadway
20,1416852,1/31/2002,Not Reported,Daylight
21,1419088,2/3/2002,Property damage only (none injured),Dark - roadway not lighted
22,1419106,2/1/2002,Non-fatal injury,Daylight
23,1419116,2/1/2002,Non-fatal injury,Dusk
24,1419549,2/8/2002,Non-fatal injury,Dark - lighted roadway
25,1419564,1/29/2002,Non-fatal injury,Daylight
26,1421180,1/2/2002,Non-fatal injury,Daylight
27,1421406,1/18/2002,Unknown,Dark - lighted roadway
28,1421411,1/20/2002,Non-fatal injury,Daylight
29,1421414,1/20/2002,Non-fatal injury,Dark - lighted roadway
30,1421424,1/8/2002,Non-fatal injury,Daylight
31,1407319,12/16/2001,Property damage only (none injured),Dark - lighted roadway
32,1407327,12/13/2001,Unknown,Dark - lighted roadway
33,1407336,12/11/2001,Non-fatal injury,Not reported
34,1412017,1/28/2002,Property damage only (none injured),Dark - lighted roadway
35,1412031,1/30/2002,Non-fatal injury,Daylight
36,1412774,3/16/2002,Property damage only (none injured),Daylight
37,1412833,3/10/2002,Property damage only (none injured),Not reported
38,1412844,3/8/2002,Property damage only (none injured),Dark - lighted roadway
39,1412850,3/13/2002,Property damage only (none injured),Dark - lighted roadway
40,1412857,3/12/2002,Property damage only (none injured),Dark - lighted roadway
41,1412869,3/11/2002,Non-fatal injury,Daylight
42,1413256,2/12/2002,Non-fatal injury,Daylight
43,1413289,2/20/2002,Non-fatal injury,Dark - lighted roadway
44,1413303,2/22/2002,Non-fatal injury,Dark - lighted roadway
45,1413323,2/22/2002,Non-fatal injury,Dark - lighted roadway
46,1413340,1/7/2002,Non-fatal injury,Daylight
47,1413346,1/5/2002,Property damage only (none injured),Dark - lighted roadway
48,1413351,1/7/2002,Non-fatal injury,Dark - lighted roadway
49,1413368,1/2/2002,Non-fatal injury,Dusk
50,1414536,2/4/2002,Property damage only (none injured),Dark - roadway not lighted
51,1414554,1/15/2002,Unknown,Daylight
52,1414565,2/16/2002,Property damage only (none injured),Dark - lighted roadway
53,1414620,2/20/2002,Non-fatal injury,Not reported
54,1414685,1/24/2002,Property damage only (none injured),Dark - roadway not lighted
55,1414699,2/18/2002,Property damage only (none injured),Dark - lighted roadway
56,1414702,2/15/2002,Non-fatal injury,Dark - roadway not lighted
57,1414708,2/11/2002,Not Reported,Dark - lighted roadway
58,1414723,3/1/2002,Property damage only (none injured),Daylight
59,1414727,3/2/2002,Property damage only (none injured),Daylight
60,1414729,2/24/2002,Property damage only (none injured),Daylight
61,1414767,3/4/2002,Not Reported,Daylight
62,1414775,3/5/2002,Not Reported,Not reported
63,1406055,12/31/2001,Non-fatal injury,Dark - lighted roadway
64,1406180,12/9/2001,Non-fatal injury,Dark - roadway not lighted
65,1406187,12/9/2001,Non-fatal injury,Dark - lighted roadway
66,1406213,12/8/2001,Non-fatal injury,Dark - lighted roadway
67,1406225,12/7/2001,Non-fatal injury,Daylight
68,1406235,12/5/2001,Non-fatal injury,Daylight
69,1406237,12/31/2001,Non-fatal injury,Daylight
70,1406409,12/27/2001,Non-fatal injury,Dusk
71,1406428,12/24/2001,Non-fatal injury,Daylight
72,1406435,12/21/2001,Not Reported,Dark - lighted roadway
73,1406472,12/20/2001,Non-fatal injury,Daylight
74,1406473,12/15/2001,Non-fatal injury,Daylight
75,1412324,2/25/2002,Non-fatal injury,Daylight
76,1412775,3/10/2002,Property damage only (none injured),Dark - lighted roadway
77,1412777,3/17/2002,Non-fatal injury,Daylight
78,1412779,3/21/2002,Property damage only (none injured),Daylight
79,1412789,3/18/2002,Not Reported,Daylight
80,1412793,3/22/2002,Property damage only (none injured),Dark - unknown roadway lighting
81,1412813,3/18/2002,Not Reported,Daylight
82,1413263,2/9/2002,Non-fatal injury,Dark - lighted roadway
83,1418624,1/22/2002,Property damage only (none injured),Dark - lighted roadway
84,1418640,1/21/2002,Non-fatal injury,Daylight
85,1420929,3/23/2002,Not Reported,Daylight
86,1421858,4/1/2002,Property damage only (none injured),Daylight
87,1421927,3/25/2002,Non-fatal injury,Daylight
88,1421936,3/26/2002,Non-fatal injury,Dark - lighted roadway
89,1421940,3/29/2002,Not Reported,Daylight
90,1421995,11/29/2001,Property damage only (none injured),Daylight
91,1422113,3/1/2002,Property damage only (none injured),Daylight
92,1423220,3/29/2002,Non-fatal injury,Daylight
93,1423230,3/30/2002,Not Reported,Daylight
94,1426142,12/20/2001,Property damage only (none injured),Daylight
95,1427428,1/9/2002,Not Reported,Dusk
96,1427600,12/7/2001,Not Reported,Daylight
97,1427605,1/18/2002,Property damage only (none injured),Dark - lighted roadway
98,1427607,1/24/2002,Property damage only (none injured),Dark - lighted roadway
99,1427608,1/9/2002,Property damage only (none injured),Daylight
100,1428140,12/19/2001,Not Reported,Daylight
101,1428712,2/17/2002,Property damage only (none injured),Daylight
102,1428757,3/7/2002,Not Reported,Not reported
103,1428759,12/5/2001,Unknown,Daylight
104,1428806,3/9/2002,Property damage only (none injured),Dark - lighted roadway
105,1428813,3/8/2002,Property damage only (none injured),Dark - lighted roadway
106,1428830,3/6/2002,Not Reported,Dark - lighted roadway
107,1428889,3/2/2002,Non-fatal injury,Dark - roadway not lighted
108,1428912,3/8/2002,Property damage only (none injured),Daylight
109,1428954,12/31/2001,Property damage only (none injured),Daylight
110,1429108,3/13/2002,Property damage only (none injured),Dark - lighted roadway
111,1429130,3/13/2002,Non-fatal injury,Dusk
112,1429243,12/6/2001,Non-fatal injury,Daylight
113,1429824,11/1/2001,Property damage only (none injured),Daylight
114,1430169,11/25/2001,Not Reported,Dark - lighted roadway
115,1430798,4/28/2002,Non-fatal injury,Daylight
116,1430808,5/4/2002,Not Reported,Dark - lighted roadway
117,1430836,11/2/2001,Property damage only (none injured),Daylight
118,1430906,5/5/2002,Not Reported,Dark - lighted roadway
119,1430920,4/30/2002,Non-fatal injury,Daylight
120,1430924,5/2/2002,Not Reported,Daylight
121,1432573,3/21/2002,Property damage only (none injured),Daylight
122,1432589,11/7/2001,Property damage only (none injured),Dark - lighted roadway
123,1433072,11/30/2001,Property damage only (none injured),Daylight
124,1433114,11/13/2001,Property damage only (none injured),Daylight
125,1433277,3/10/2002,Non-fatal injury,Dark - lighted roadway
126,1433296,3/9/2002,Non-fatal injury,Dark - lighted roadway
127,1412783,1/20/2002,Property damage only (none injured),Daylight
128,1412787,3/22/2002,Non-fatal injury,Daylight
129,1413272,2/14/2002,Non-fatal injury,Dark - lighted roadway
130,1418646,1/25/2002,Non-fatal injury,Dark - lighted roadway
131,1418676,1/28/2002,Non-fatal injury,Dark - lighted roadway
132,1420937,3/16/2002,Unknown,Daylight
133,1420944,3/16/2002,Non-fatal injury,Dark - roadway not lighted
134,1420950,3/18/2002,Not Reported,Dark - lighted roadway
135,1420958,3/18/2002,Unknown,Daylight
136,1420967,3/17/2002,Non-fatal injury,Dark - lighted roadway
137,1422731,12/12/2001,Property damage only (none injured),Dark - lighted roadway
138,1422862,12/25/2001,Property damage only (none injured),Dark - lighted roadway
