,DATE,PRCP,SNOW,SNWD,TSUN,WT01
0,1/1/1990,0.06,0.0,0.0,247.0,1.0
1,1/2/1990,0.0,0.0,0.0,538.0,
2,1/3/1990,0.0,0.0,0.0,534.0,
3,1/4/1990,0.0,0.0,0.0,32.0,1.0
4,1/5/1990,0.0,0.0,0.0,499.0,
5,1/6/1990,0.0,0.0,0.0,287.0,
6,1/7/1990,0.0,0.0,0.0,351.0,
7,1/8/1990,0.06,0.0,0.0,133.0,1.0
8,1/9/1990,0.02,0.0,0.0,404.0,1.0
9,1/10/1990,0.0,0.0,0.0,0.0,1.0
10,1/11/1990,0.02,0.0,0.0,20.0,
11,1/12/1990,0.0,0.0,0.0,175.0,
12,1/13/1990,0.0,0.0,0.0,562.0,
13,1/14/1990,0.0,0.0,0.0,458.0,
14,1/15/1990,0.04,0.5,0.0,0.0,1.0
15,1/16/1990,0.0,0.0,0.0,555.0,1.0
16,1/17/1990,0.0,0.0,0.0,385.0,1.0
17,1/18/1990,0.0,0.0,0.0,388.0,
18,1/19/1990,0.0,0.0,0.0,530.0,
19,1/20/1990,0.15,1.8,0.0,0.0,1.0
20,1/21/1990,0.74,3.5,2.0,0.0,1.0
21,1/22/1990,0.1,1.2,6.0,0.0,1.0
22,1/23/1990,0.0,0.0,7.0,467.0,1.0
23,1/24/1990,0.07,0.0,5.0,0.0,1.0
24,1/25/1990,0.41,0.0,3.0,0.0,1.0
25,1/26/1990,0.61,0.0,0.0,0.0,1.0
26,1/27/1990,0.0,0.0,0.0,573.0,
27,1/28/1990,0.0,0.0,0.0,477.0,
28,1/29/1990,1.0,0.0,0.0,0.0,1.0
29,1/30/1990,0.5,0.0,0.0,427.0,1.0
30,1/31/1990,0.0,0.0,0.0,522.0,
31,2/1/1990,0.0,0.0,0.0,455.0,1.0
32,2/2/1990,0.45,0.0,0.0,0.0,1.0
33,2/3/1990,0.03,0.2,0.0,0.0,1.0
34,2/4/1990,0.88,4.6,2.0,0.0,1.0
35,2/5/1990,0.0,0.0,5.0,568.0,
36,2/6/1990,0.0,0.0,4.0,280.0,
37,2/7/1990,0.0,0.0,3.0,231.0,1.0
38,2/8/1990,0.0,0.0,2.0,617.0,
39,2/9/1990,0.0,0.0,0.0,457.0,
40,2/10/1990,0.16,0.0,0.0,5.0,1.0
41,2/11/1990,0.0,0.0,0.0,624.0,
42,2/12/1990,0.0,0.0,0.0,420.0,
43,2/13/1990,0.0,0.0,0.0,97.0,
44,2/14/1990,0.0,0.0,0.0,296.0,
45,2/15/1990,0.54,1.1,0.0,0.0,1.0
46,2/16/1990,0.46,0.1,1.0,0.0,1.0
47,2/17/1990,0.02,0.0,0.0,630.0,1.0
48,2/18/1990,0.0,0.0,0.0,612.0,
49,2/19/1990,0.0,0.0,0.0,504.0,
50,2/20/1990,0.0,0.0,0.0,588.0,
51,2/21/1990,0.0,0.0,0.0,651.0,
52,2/22/1990,0.14,0.0,0.0,357.0,1.0
53,2/23/1990,0.06,0.0,0.0,159.0,1.0
