,County,Yes,No,Blanks,Total Votes Cast,Avg Score
8,Barnstable,1367694.0,1232459.0,132620.0,2732773.0,3.164139749505603
3,Berkshire,529942.0,520431.0,71989.0,1122362.0,3.3634222919937207
7,Bristol,2065437.0,2029231.0,309478.0,4404146.0,3.405869910100476
5,Dukes,94309.0,71275.0,12367.0,177951.0,2.8840579710144927
11,Essex,3343188.0,3101042.0,386174.0,6830404.0,3.2790076335877862
12,Franklin,367837.0,355979.0,36124.0,759940.0,3.4130434782608696
4,Hampden,1633876.0,1611285.0,219542.0,3464703.0,3.333055323881012
10,Hampshire,707492.0,638771.0,66365.0,1412628.0,3.19449081803005
6,Middlesex,7321000.0,6737821.0,801400.0,14860221.0,3.251547916089086
2,Nantucket,64050.0,45578.0,7510.0,117138.0,3.4782608695652173
1,Norfolk,3773541.0,3647150.0,416440.0,7837131.0,3.311115355233002
13,Plymouth,2393735.0,2259627.0,231804.0,4885166.0,3.2086124401913874
9,Suffolk,2584436.0,2358209.0,541645.0,5484290.0,3.1569487067075843
0,Worcester,3604775.0,3326422.0,367991.0,7299188.0,3.303024747937672
